Ref,Val,Package,PosX,PosY,Rot,Side
"FID1","Fiducial","Fiducial_1mm_Mask2mm",0.000000,-11.000000,-0.000000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",14.300000,52.500000,-0.000000,bottom
"U1"," KTD2052A","DFN-8-1EP_2x2mm_P0.5mm_EP0.9x1.5mm",0.000000,26.475000,-0.000000,bottom
